Adj 1,Frequency
نشدکهنه,1
حوالیم,1
برآییم,1
ماتمیم,2
هنگامهٔ,3
ترنم,1
خوابانیدهتر,1
مطلبهای,1
فراموشیی,1
بیشترچه,1
جهتی,1
ادبار,3
آراتر,1
همکناری,1
مهری,1
نریزی,1
گلفروشی,1
زدور,1
حقیقتند,1
برجستهتر,1
تیغی,2
حسرتخانه,1
گرو,2
پنهانتر,4
غربتی,3
آخرگسستنی,1
ازعلایق,1
آسودکی,1
چرمی,1
افلاکی,3
خواهی_چون,1
یکدگر,1
صفیری,1
ازکلاه,1
پیچش,1
جزشکست,1
شناسی,7
فهمیدی,1
سیرم,3
بسیارمی,1
پرگارنیرنگی,1
محرفی,2
سرمهٔ,1
نرگسستانی,1
تکلمی,1
ترمکن,1
لنگر,1
روکن,1
خطابی,6
وبوکن,1
حکمی,2
غیرست,1
صور,1
اجزا,1
وتهی,1
نامشخص,1
برخویش,1
نشانهٔ,1
غیرتش,3
مهرخامشی,1
آرم,4
تراود,2
خوابانیده,2
مهرگیری,1
بالیدهتر,1
سرافرازتر,2
جاهی,2
هواللهی,1
محفل,1
پهنتر,2
منتفع,4
شنودنی,1
باغ,5
بروب,3
زمینگیری,1
تکلف,1
بازگردی,1
رساتر,2
واکشیده,1
ماگسسته,1
آفاقی,8
چپنی,1
ادبگه,1
نشکستنی,1
رشکی,3
قدرانداز,1
عمرشرار,1
سربرآورده,1
حسنی,6
مصفاکرده,1
اینه,1
صهبایی,1
سوخته_ای,2
جسته_ای,2
موگر,1
اگرکشتی,1
گردیدی,3
تماشاکرده,1
خواهی_آنچه,1
یکسوبی,1
رسیده_ای,1
ندامتی,3
محیطی,10
مقلدی,1
ننشستی,7
نبالیدی,1
سحرکاری,2
انفعالش,1
هیچکس,1
شامی,4
بامی,14
انتقامی,1
زرپیچی,1
ودرپیچی,1
بیشترپیچی,1
منجمدی,1
ارزد,1
شبگردی,1
گرداندی,1
افسوسی,1
تغافلهای,1
نجوشیده,1
امدی,1
راگرفتی,1
اندودی,1
معدودی,1
نمکسودی,1
عودی,4
معبودی,1
لیکن,7
میناگری,1
یکسونه,2
تیغش,2
مقصدکرده,1
سرخاری,1
برگرفتاری,1
خونباری,1
نشماری,7
پرگاری,3
نیفشاری,1
غمازی,8
بیرونتر,1
پیرگردیدم,1
لباسی,1
نشکستی,3
غیرتهاست,1
معکوسی,1
محبوسی,1
محسوسی,1
پارسیده,1
پاکشی,1
نیفکنی,1
درگوشی,1
بدانجامی,1
بناگوشی,3
معافی,1
غلافی,1
ژرفی,4
نحوی,7
نهنگی,5
سرجنگی,1
خامسوز,1
کاکلی,1
خرکم,1
امسالی,1
غسالی,1
غربالی,2
سوارطفلی,1
مضطرم,2
توأمی,1
نمایانی,2
ننشانی,3
نفشانی,4
ناپشیمانی,2
بخندانی,1
نرویانی,1
بگردانی,6
وآهی,1
انگاره,1
سوهانی,1
نمکدانی,3
پیمانی,7
مالیدنی,1
مپوش,10
دریاکشی,1
محزونی,3
مجوشید,1
مپرداز,5
بازپسینی,1
رنگینی,1
گنهی,2
دلخواهی,3
بگشایی,4
نیرنگی,1
سربرگ,1
بوریایی,1
همصدایی,1
ننمایی,3
سرورق,1
نازده,1
شکرخایی,1
ناشناسایی,1
فسردنکده,1
سیمکار,1
غلویی,1
نیزکرده,1
ماْیوس,1
زورق,1
گیسویی,1
خودرویی,2
ابرویی,1
بازویی,3
نرویی,1
کوردلی,1
غریوی,1
مدارش,2
نوامی,1
دیوانگان,1
فگار,16
ملولم,2
اطوار,1
زیراک,3
والهی,3
رحم,1
عشقش,4
نیازمندی,2
صدگونه,2
بگوی,9
منتظرم,2
سرگرانی,4
وامگیر,6
رعناش,2
شنگش,1
خاصگی,1
کامران,1
شرابم,1
گشادمی,1
صوفیانه,10
ذاکر,2
وامق,8
سان,1
زاریی,1
پریدمی,1
دلال,2
غمزدای,3
شرابخانه,4
دوگانه,13
کیستی,28
پروریدی,2
چمیدی,1
زیرین,10
پریدی,4
فگاری,6
بالرفاقی,1
کاشکی,10
برآمدمی,1
دشنامی,2
رهبان,1
شکرستانی,3
لطافتی,3
نپخته,1
دلگشایی,1
ختایی,5
ریایی,10
متکایی,1
صلایی,3
مستحیل,7
مطبخش,1
بیزان,1
معذورم,4
مستطیر,3
مشتمل,9
پرسشی,2
معنیم,1
موجیم,1
مبترم,1
جمالت,1
تابشی,3
ضال,6
عوری,4
اخوانی,2
گلستانی,4
گردونی,9
کتمانی,1
مپسندش,2
لولی,3
ذهنی,2
معلا,18
نمناکتر,1
ماییم,7
خواهی_می,1
بدمی,9
شنوی,8
وارستی,1
مدرج,6
مضاف,15
اتفاقی,7
طبایع,1
ناداده,2
مستغنیش,1
ناخرسند,2
تابانتر,5
ملتفت,7
چوروی,2
محصل,3
هیکلی,2
ندریده,1
مشوشی,2
نگشایی,4
ملولی,3
نکوش,1
عری,3
صفاش,1
انوار,2
متاثر,2
روتر,4
مدهوشند,1
مغبر,4
ساحت,2
شادکامی,2
مشکموی,1
بجنگ,5
مشوب,4
نیوش,3
متاب,4
مهب,2
سرکب,2
بیکی,10
برسیده,1
برینی,4
معجب,4
گریزش,4
کندهمی,1
بچین,1
نشاط,1
کامروا,6
بیغل,1
پیشگه,3
کآورده,1
خوروانده,1
کورا,5
خوارستی,3
ورادی,1
اعداش,2
دان,3
مذمومی,1
ملکرا,3
بیامرزاد,2
سببی,5
نزاد,1
باف,2
بیکرانه,10
بسدتر,1
مطابق,1
دربر,1
نیکوانرا,1
مرکبی,4
پرسیدی,3
اره,1
مردابهاش,1
کفیده,2
درمرغزار,1
نگسسته,1
حصی,2
منزلگهی,2
همدست,5
بتبه,1
خودآمده,1
واستر,1
وشادی,2
بتیر,2
جفتم,1
بدرنگ,3
سبکسار,6
کتر,4
هپولی,1
بحراخضر,1
مرغابی,1
بیکنار,1
ونبوده,2
برکنده,1
ببار,13
رعدوار,1
مؤالف,3
خواهی_چه,1
بآیینتر,1
بشرف,2
سیکیتر,2
صدبار,2
برگرفته,5
بطبع,1
پاکرده,1
ازینگونه,2
برگیردهمی,1
سرایی,3
جهانرا,5
بدره,2
بندگکی,1
واندوهی,1
همیکردی,1
زردروی,2
موافقندبهم,1
باعزت,1
ناوک,2
خانندی,1
بیمر,3
قلمی,11
ماندمی,1
بیستون,2
پرپر,2
جراره,4
واجبتر,1
عنبرتر,1
وسپر,1
رودنواز,1
فیروزیست,1
زخضر,1
درخورتر,1
صلتی,1
زیزدانش,1
مگر,4
عزیزا,1
وانده,1
خوبم,3
کردخواهی,1
پیشکار,2
رباینده,2
بستی,1
کانداختی,1
غافلم,1
خواهم_یک,1
یکسال,1
زیکی,3
آراستهتر,2
وبس,1
غلطد,4
مرسده,1
مبارکی,5
خواهم_ار,1
پارساتر,1
خواردار,2
وامدار,2
عزیزترین,1
بریکی,2
مبخش,4
پذیرنده,5
فکندستی,1
زخاک,2
بردبارتر,2
وزه,1
بیمدار,1
زرعیار,1
مبتلی,3
فزع,2
مجهولتر,1
نشاندش,1
فروگذار,5
دردناکتر,2
متنبی,2
جوانرا,1
ازبر,1
ناخسته,1
راتر,5
وبه,2
آژنگ,1
دلاورتر,2
تنبل,11
پیروزتر,2
ارغنده,3
حجره,2
فصیحست,1
دوالی,6
قرمطی,3
رابپای,1
وشرم,1
شنوم,3
وبراسب,1
نیاوردی,2
مصیب,1
کرامی,1
همیخواهد,1
داشتیی,2
جوادست,1
نیکخویی,2
اوخواسته,1
وبیجاده,1
گذاره,1
وفرخنده,2
اومی,1
دوستتر,4
محبش,1
موافقانش,1
چنبر,11
بپراکن,2
ادکن,11
عطاش,5
بادو,1
گربا,1
آواش,1
ببیشه,1
بیازردی,2
حکیمتر,3
کریمتر,2
خوردمی,6
خواهد_وبس,1
آموخته,2
مراد,6
تواناتر,6
توهمی,2
چنینست,1
وبشادی,2
خواهی_بستر,2
سپرداری,1
بنوشته,1
چندگه,2
مابرخاسته,1
زوهمی,1
خواهی_ببین,1
پارگین,3
منواز,1
هزیمتی,3
بفضل,1
یابندی,1
چونوش,1
المتین,3
قدح,2
غمگنی,3
تولی,1
راهمی,4
چهی,6
تنگدلی,1
مصقول,3
وعلم,1
فزونستی,1
ونوماهی,1
ندزدی,1
فرخجسته,2
خوناب,3
شریفتر,6
کنندی,1
فزا,7
نکوهیده,5
غمری,2
پاداشن,1
آویخته,4
مصافی,1
ترکانی,1
شبانروز,2
بادافراه,1
چنوآفریده,1
آنستی,1
زنمی,2
فرختر,1
باقبایی,1
نیوشی,4
سخنسرایی,1
مرترا,1
پاکدینی,1
خواهنده,9
گزایی,1
منافقانی,1
موافقانی,1
مرزوی,2
مشکوی,4
بیشوی,1
رخانی,1
نوانی,2
حری,4
گوهرفشانی,1
رارای,1
اندربای,2
مرای,1
جداری,1
بدانجای,1
ملکزاده,5
وپرجگری,1
هزبر,1
طربی,1
زمانکی,2
بشمری,2
خسرویست,1
نفکنی,1
نشکری,2
مغفری,3
سعتری,2
ناردانی,2
برکرانی,1
مپای,13
ماسای,5
برسای,1
رابربای,1
گوار,1
زیشک,1
گرددجاری,1
تامه,1
قای,1
خورنده,8
کارگشای,3
برپای,5
عماری,5
زدواری,1
معروفتر,6
بیقدرتر,1
نسپاری,6
میی,3
پاسبانی,2
خلخانی,2
مصطفایی,3
ربایی,6
مشکسایی,2
ضظغ,1
روزهاشنبدی,1
چدی,2
سکالی,1
عیالی,2
شرمگنی,1
خلالی,2
چوبری,1
زبری,1
چوبساطی,1
هندوی,12
باشدی,1
غوی,5
بطر,2
هنرداری,1
کمرداری,1
چونم,1
ناتافتگی,1
وتدبیر,1
حیله,1
بازخواستی,1
نیارم,2
ازدوستی,1
فرامشتی,3
شناختی,4
محتملی,2
بنبشتی,1
اگرکنی,1
مرغدلی,1
زبونتر,7
ماخواسته,1
ناپیدایی,1
غذانی,1
دهانستی,2
باغبانستی,2
برگراییدی,2
مطربی,6
پایگه,5
اندرآبستی,2
خوابستی,2
وبنوردی,2
محتشم,2
بگذاری,2
خسروسازگار,2
ترداری,2
فرزندگرامی,2
فامی,4
همامی,3
نیشی,4
کارفرمایی,3
لآلی,6
خدمتگرست,2
زیباستی,2
دریاستی,4
همتاستی,2
شیار,1
مرانیز,1
خریش,1
آهنکش,1
سازوار,3
بازدار,1
عمد,3
ناصردین,1
یکخوی,1
غریبتر,1
کورده,2
خواهندگی,1
رنجکشتر,1
صدرگه,1
سخیتر,1
جرد,1
نسب,3
مردگیر,1
بقی,1
بارانبار,1
پردلتر,1
مدحتگوی,1
بیگناهم,1
گریخته,1
اشکریز,3
زبردستی,7
کهکن,1
قبادوار,1
مالده,1
دیرگاهی,1
زورمندی,3
آفریننده,6
نغنوی,2
وفی,1
بپرسیدمی,1
نگماشتی,1
خواهم_همی,3
مردری,2
برمیان,1
اباسرکشی,1
برافراشتی,3
چارپای,3
بیور,2
چاهی,2
تازیان,2
بینادل,13
صدستون,1
برز,4
آبتین,1
برمایه,1
زنهاردار,1
سازیده,3
سوزگی,1
بنام,3
گاوپیکر,4
برکسی,1
نگون,3
گرانمایهتر,2
افسرش,1
سخنهاش,2
مراو,2
اندرکشید,1
خدای,6
آوریده,1
ناهوشیار,2
مهرآوری,1
پور,5
ناگریز,3
ندادی,5
چاچی,9
پرگمان,1
بتابیدمی,1
پراگنده,54
قارن,3
بیداد,4
منید,3
برکاستی,1
رامش,3
چندگونه,2
پیلوار,1
پرگناه,2
اخترگرای,1
رامشی,3
موبدانرا,1
سیمست,1
واژونه,2
بهاخواستی,1
منست,7
نیاسوده,4
سرافگنده,5
سرنهاده,2
گرایندهٔ,1
مپیمای,9
پلنگ,1
غرید,1
ازان,8
خواندندش,1
بومهین,1
ژوپین,1
خوارش,9
افزودنی,3
زال,3
کرنای,23
کیانی,4
پردخته,4
وز,5
مانیده,2
پرخاشجوی,24
کمربسته,1
سلیح,7
ارمیده,1
آهرمنی,9
برآمیختی,4
جشنگه,2
جنگیش,1
بیفشاردی,1
کارکرده,4
گزاینده,2
زیرپای,1
مازندرانی,1
هرجای,1
نشکیفتی,2
غندی,6
تیرآتشی,1
نیکوسرین,1
راستگوی,3
شدش,12
هش,5
کوههٔ,2
خوابگاه,1
بالاش,2
دژخیم,1
گنج,2
رزمدیده,1
بدل,1
پرمایهتر,3
چیز,1
به,13
بیکبارگی,8
سراندر,2
ترکوار,1
نیرمی,1
نبرده,1
پولاد,5
دشنه,1
جگرگاه,1
جزین,13
بسیچیده,3
اوگش,1
خودمگوی,1
شیرفش,1
شاهانم,1
برآفرین,1
درفشنده,1
برگشایی,6
شمارنده,1
چندانک,1
شخی,1
گرسیوز,1
پردانش,1
جنگیتر,1
شوکین,1
پرخاش,2
ناخوب,12
طورگ,1
داناتری,1
سیاووش,1
شمشیرزن,3
غمگسارش,1
نخچیرگاه,1
برومندش,3
اندرآمیختی,1
برانگیختی,3
درآوردی,2
بیگنه,6
درخشانتر,2
بغنوی,1
برنشین,1
اندرآید,1
پدرود,3
بدرگه,2
چهرش,2
خسروآرای,1
بسیارهوش,1
مبوی,4
پیران,6
قچغار,1
نامبردار,6
بیاویختی,1
بربیختی,1
گیو,6
نخندیدمی,1
پرخواسته,1
خسروی,3
زنگه,1
پرجفا,2
شادتر,4
ریونیز,1
پرآزار,2
پرفراز,1
سرغین,1
بتیمار,2
سرانشان,1
بیداردل,6
بیاد,3
روزکار,1
مشو,5
پرکشته,1
برویین,1
رزمساز,2
بخواه,2
گوهرنگار,2
ازوست,1
فش,3
بتندی,2
مپیچ,2
کفشیر,1
گردنکشان,1
نامیتر,2
آوردگه,1
بکینه,1
پرخاشخر,7
پیچان,5
غرچه,4
شگنی,3
زیشان,5
خشت,5
دشکن,1
خسروپرست,2
آریم,1
سودمندی,7
ببستر,1
بننگ,1
دلگشاده,1
بدار,2
کنداورست,1
خواهم_سر,1
ازیشان,2
کارآزموده,5
رزمگه,6
همواز,1
سگزی,1
بپرداختی,3
ببی,3
طلایه,1
کارستان,10
ابرش,2
بیافروزدش,1
براهی,1
تیزم,2
اشکرم,1
روزمی,1
بزنگار,1
باباز,1
دوده,3
بشاه,1
گراز,2
ببسته,3
بنیکی,2
بفشاندی,1
برفروز,2
زآنک,1
بیازم,1
کوپال,1
همزمان,1
رویینه,2
جدامانده,1
سوارانی,1
برافراختی,3
پشن,1
یگی,1
ازهردو,1
بزیر,6
بکردار,2
شاههنشهی,1
کگهی,1
گشن,4
بخون,2
پرفریب,3
برگزید,3
نگهدارتر,3
کرگ,1
بیالوده,1
برتباه,1
هشت,1
ببدخواه,1
بسیری,1
مزغزار,1
خستگیهاش,2
درفش,1
برآمیزدی,1
نوانتر,1
ستاینده,6
یافتی,2
شیده,4
فرزانهتر,2
یکتند,1
نره,2
منند,4
اخته,1
بوردگه,1
باکرنای,1
لرزیده,1
بدرویش,1
بیکسو,2
پیشگاه,3
افروزتر,4
نشتافتی,2
بدتنی,2
یارمندی,1
رزمگاهی,1
خنجرگزار,2
اخترم,2
بندسای,1
بنیاد,1
پیششان,1
بخشکی,1
پالیز,3
بنواختشان,2
تندرو,5
پراز,5
بیدرنگ,1
پیرانه,1
بزنار,1
براسب,2
زیرگه,1
بدیگر,1
هرک,3
گراینده,3
پرهراس,1
وتاریکی,1
ندادش,1
ناسرفراز,1
هیشوی,2
بترسی,3
کنداوری,6
کهتری,1
اژدهاگیر,1
آژیر,3
بفرستی,2
باژخواه,1
فرخندگی,4
سیحون,1
رخسار,3
بیدرفش,1
بافرین,3
ناوکش,1
شولکی,1
هرکش,1
بازجوی,3
سپردندشان,1
بنیز,1
آژده,2
توزی,2
گوای,1
بادش,3
فزرانه,1
ناباک,3
گرگسار,2
بارندهتر,1
بارکن,1
فزونست,1
چنگ,2
وتیر,1
بدکامه,1
بارورتر,1
برآویختی,1
میگسار,3
تنگدست,6
نیکش,3
ویر,2
انگه,1
دخش,3
یکجای,1
نگردیدمی,1
سیاوخش,1
یاددار,2
ماهیش,2
بکردی,1
یکتادلی,1
ریزریز,2
تباه,3
مهرنوش,1
طبرخون,1
گشادش,3
ناگشته,1
برگشتی,5
بفریفتی,2
لشکرش,1
نخچیرگور,1
برآور,1
کردندش,1
براندیشی,1
پند,1
آمدش,7
کارگه,1
زیرکش,2
کنداور,1
نورسته,4
مشمرید,1
ژویین,1
نخواهم_که,1
بنشاختی,1
زیرگاه,8
کیی,1
مکاه,1
جهیز,6
کرپاس,1
ناسپاس,1
خواهد_همی,1
پوشیدنی,1
پذیره,2
برگشته,2
قیدافه,1
بیطقون,1
گسل,1
چارهٔ,1
استه,1
شیز,2
بالابلند,1
برآویختنی,1
بینادلی,1
رطل,12
کفتر,1
ناسودمند,7
شدندش,1
بنوشت,1
بادانش,1
نشکیبی,2
بابکی,1
خراد,2
بسترش,1
آرامگه,3
بشندی,1
هفتواد,2
نیروده,1
مهرک,4
مهترم,1
برخواندی,1
ناتوانا,1
زنهارده,1
زیردستان,1
اندرز,1
برفگندی,1
بدآموز,6
خرماستان,1
برانوش,1
خریدار,1
بسیارگوی,2
آژیرتر,1
جهانگیرتر,2
مغولی,1
تاجور,3
یگه,1
آرامجوی,1
جاثلیقی,1
پرسمت,1
برزوی,2
خوابنی,1
ساله,9
مطمع,2
سرآرد,1
یادگیر,2
نجومی,1
بیاموزدش,1
باهنگ,1
بفرمای,5
نخچیرگیر,2
بیاسود,1
ناپاکتر,1
خسروش,1
بترسیدی,1
سزاتر,3
آبکش,1
جهود,5
نخچیرگه,1
ستامی,1
ماهیار,2
نجویی,4
ننمودمی,1
شهریوری,1
مرزبان,2
کارزش,1
مهربرزین,1
لاژورد,2
زیانکارتر,2
مشکنید,1
بیفراز,1
بهرامشاه,1
بیای,1
نخواهم_کهن,1
گورگاهی,1
مبادش,1
خوشنواز,5
بلاش,3
دادآفرین,1
سوفزای,13
پاکرای,1
روای,1
بنامی,1
دشمن,1
مزدک,2
ناتندرستی,1
ارجمندی,8
گرانپایه,1
فر,2
اندروی,2
ترسا,3
مسیحابود,1
ازنوش,1
بیندش,5
اندرکشیده,1
بخردان,1
وشایستگی,1
بسستی,1
پارسای,1
برگشاد,2
ناشناس,13
برکشی,6
برمهان,1
برگزین,4
کموختی,1
مسنج,2
رفی,1
باشاه,1
پرخرد,1
ساختندی,1
برخ,2
وآراستی,1
مهبود,3
درکاستی,1
برسخن,1
ماکشته,1
خاقان,1
چنانچون,1
داردی,3
وبسته,1
ارجاسب,4
سرماه,1
گستردنی,3
وبزرگی,1
راجایگه,1
گیلی,1
بردع,3
وتندی,1
وسرفرازی,1
وخردمندی,2
زاده,2
بدیدار,1
وخواسته,2
وآموی,1
تیزدستی,1
وترک,1
وهرگونه,1
بگریختی,1
وسودمندی,1
خشندی,1
نیازد,1
بدکاستی,1
وهشیارتر,1
شوربختی,3
واسبی,1
درشگفتی,1
وشایستهٔ,1
دوساله,3
دوموبد,1
وخرد,1
سندلی,1
برنگذری,1
نژاده,1
پاکزاده,1
مایلست,1
چوآمد,1
چارسوی,1
وگستردنی,1
بیدانش,1
بهاگیر,1
شست,1
واندک,2
وبخشنده,1
پاکدین,1
نیکوسخن,1
وبخشش,1
بیفروختی,1
آموزشی,1
نایدش,1
وآغاز,1
کوشا,1
بستایدش,1
توگفتی,2
منجنیق,3
وبکنده,1
بخراشدش,1
وافسر,2
برزدی,1
وسپید,1
بافزون,1
ودرویش,1
درپادشاهی,1
گشسب,7
برخوب,1
وآهرمنی,1
اندرهمی,1
کهترانرا,1
دادده,1
ویادگیر,1
پیچنده,1
پیروزبخت,3
انگی,1
مهان,3
بگوپال,1
سپیدیم,1
وجادویست,1
پرموده,6
شبیخون,2
موده,1
میانجی,1
گوانجی,1
مراکم,1
تیزخونخوار,1
چوبینه,4
وبرده,1
ناسزا,2
وخامشی,1
بپروین,1
زیراندرش,1
هرگونه,1
جادوستانی,1
پرخنجری,1
وراد,1
وپیش,1
جایگیر,10
برتخت,1
خودکنی,1
راکهتر,1
پرپشیمانی,1
ورهی,2
همسایه,2
واسب,2
بافرهی,1
اندرانداختی,1
اندرآری,1
وزاده,1
بازخواهی,2
بهرخویش,1
وبروی,1
گنهگار,1
چوسام,1
وبندوی,1
ویک,2
وخیل,1
مازخسرو,1
جهانگیر,2
وبنه,1
ماآنک,1
نبرداشتندی,1
نخواهمت,1
اختری,5
زگاه,1
خواهم_بماه,1
زیرقبای,1
بندوی,6
موسیل,1
پدرگشته,1
صلیبی,2
مهترند,1
مرجانور,1
اخترشناس,1
برآفتی,1
سوکوار,4
بیهش,1
هندوش,1
جهودش,1
راتیز,1
وراهی,1
ازلشکری,1
فروریختی,1
گردوی,3
بدتنه,1
ذیل,6
لشکرگشن,1
منادیگری,1
برزینه,1
زرکانی,2
مقاتوره,1
توری,1
بزین,2
کپیش,1
وراستی,1
بیفزایدی,1
دبیر,1
بیمناک,4
گرگشاده,1
راسوی,1
گاشتندی,1
رابه,1
چوگرد,1
بپی,2
گربکی,1
گردنکشی,1
غمگسارم,3
دوخته,3
برنای,1
پهلوای,1
تشتی,1
زمانه,1
بهاخوار,1
شاهیش,1
همبوی,1
بیداربخت,1
دوهز,1
یی,4
مخوار,1
نیارمت,1
هشیاتر,1
بیمم,1
پرکین,3
وتبه,1
خواره,6
رابهی,1
شیروی,2
بان,2
ازپی,3
مصعد,2
خودآگاه,1
قفیز,1
ماهوی,19
سرکشته,1
بیامدش,1
کشکین,2
تخمهٔ,1
مویان,1
عتابست,1
فقیهانرا,1
مهریست,1
مهٔ,1
شاهد,7
طیب,11
ازعاشقی,1
سرنمی,2
جانرا,29
غیردوتائی,1
قالبم,1
جلالی,1
مااز,1
فیض,2
راهگذار,1
بقرار,1
بنموده,1
شهد,1
محمور,1
آّب,1
چکنی,5
جمالم,1
اری,2
ذنوبی,1
زبود,1
حبلهای,1
زجا,3
بنشان,1
بعثی,1
آنگو,1
درفغان,1
فلق,2
مستبین,1
سرگوسنگ,1
باجنگ,1
درننگ,1
بیوفائی,3
اینچه,1
ستخیز,1
قبور,1
فهمم,3
بیخار,2
مفرما,4
بیچارگان,1
غیرظل,1
عزوجاهی,1
میفروشی,1
نخسبی,2
ارنگری,1
مجادل,1
سنجیدهتر,1
زهرآلوده,2
مأوا,2
بدعوائی,1
هویدائی,1
بهوش,7
چوکوغلطان,1
خودغلطان,1
زهای,1
بجدائی,1
اشکباری,2
غیریکی,1
بسرائی,1
یکنفس,3
بیادگار,2
عندلیب,2
کرانی,1
زدیده,4
بخاطر,2
دلی,3
بعبث,4
وجهد,1
غیرسیف,1
بررخم,1
یکطرف,1
خواهد_سراپا,1
بنظر,2
بچشمم,1
بیفروغش,1
مشگینی,1
پریشانم,10
قراری,4
اینماهی,1
منالی,5
ضروریش,1
بجامی,4
بسلامی,1
بوامی,1
مدارم,2
ورندی,1
گلرخی,2
غیرمستی,1
بلایعنی,1
عربده,1
وزرش,1
سرپوشی,2
بتگده,1
عالمگیر,8
وصوم,1
غمخانه,5
راکو,1
دشوارش,1
شکرریز,5
برندی,2
ندزدیده,1
ارگشائی,1
خسبیده,1
سنجیده,10
نجنبیده,1
نخسبیده,1
شوریدگی,1
شناسد,1
منتسخش,1
اشگش,1
رندم,6
کفجه,1
خوبتری,2
شبخیزی,1
حمشی,1
ماسیاتی,1
زاهدا,1
واپستری,1
خست,1
مشکبو,6
همند,1
آنکرا,1
خطاکار,2
وا,3
هبا,2
خدابی,1
کافرتر,4
نیکوش,1
جانکه,1
غمزدا,1
پیوندیم,1
عقدهٔ,1
شعله,4
ملیک,4
مقربی,1
نشوئی,1
حنانه,2
اختلافی,1
ناصح,5
هیولی,2
عجیبتر,13
عجیبسب,1
فراوانتر,1
گریانتر,1
مصحفّافی,1
بجور,1
میسوز,2
لاش,4
بلی,8
انتعاش,1
لابث,1
بهودی,1
مهرکن,1
بفهمانش,1
سرازیر,2
علا,3
غصص,1
قسمتیست,1
مناص,5
نص,1
مما,1
اهدنا,1
بغلط,10
یکبار,3
فنادی,1
ابلهانرا,1
اغیار,2
بافسانه,1
خسار,1
صلف,1
بمپوی,2
بالعشی,4
یکحرف,1
یکرشته,1
راغب,4
جزعشق,1
بمرای,2
منای,1
میریز,1
آبیش,1
بتوفیقی,1
مرقاتی,1
الیقین,1
ارکنی,1
بیرحم,3
ازمن,2
نسرشته,1
چرانی,2
قهرم,1
گداری,1
مشکم,5
مستانهٔ,3
درخیر,1
هوهو,1
ازمنی,1
بیخودانه,1
باخلاص,2
بیقرارم,2
طلعتکی,1
ببندگی,1
خفیه,1
بسملش,1
دادهٔ,1
وفادارم,1
بیسراپا,1
نیابم,1
وامیکشم,1
باده,4
آشامم,3
اخلاصی,1
دنییی,1
مؤمنم,2
بسعی,2
طلعتت,1
بسخنهای,1
واسوش,1
شوفیض,1
آسائی,1
بتنهائی,1
بهواداری,1
سرشاری,1
بیجانی,3
یکجرعه,1
شکوهٔ,1
زسر,1
مدغمیم,1
مهمانیش,2
داغهای,1
بدوش,1
نگفتنی,2
مستولی,12
بنحوی,1
ناقابل,3
قبولم,2
طهوری,1
سوداش,2
ازینقصه,1
یکچند,1
الاسری,1
العاشقین,1
چریدیم,1
وشم,1
یکذره,1
طومار,1
زدین,1
بسینه,1
کافکنی,1
فهمد,1
چاق,2
دلرا,5
سجوده,1
شهوده,1
مسرعین,1
جحوده,1
هموده,1
میگوی,3
بویرانه,2
حسنش,2
گارم,1
فصلی,10
بفصلی,1
گنه,16
نهلی,1
معتزلی,6
وعیدی,1
بوده_ای,1
زیارتی,4
نضارتی,1
بالاستی,1
بویاستی,1
الاستی,1
وهوش,1
بنشستی,10
ببازار,2
رایتی,4
کنایتی,2
روبرو,3
نوحی,3
آوارهتر,2
الوقودی,1
الخلودی,1
فوادی,1
مفتاح,2
بظلماتی,1
زایف,1
مهوش,6
خوندل,1
بچینی,2
تارکی,1
خوارکی,2
بیکارکی,1
بارکی,1
منتج,2
هستمی,2
بنشستمی,2
غلمان,8
نشتمی,1
بستمی,2
بیجرمی,1
سیمینی,3
برهمنی,5
جانانرا,1
میطلبی,1
محابا,4
هوشیارش,1
میربائی,1
میگشائی,1
جزائی,2
آوائی,1
مهیائی,2
کجائی,3
ببزم,1
مرهوب,1
برباعی,1
بدریا,2
برنگ,1
بپیمانه,1
سفتی,3
ازگنه,1
هوس,1
ممتحن,3
غطا,2
دیرپا,1
مرحبا,5
وشبه,1
عظمی,2
معطور,1
توغمگین,1
مؤبد,2
بخشدکم,1
حجیم,6
صباگسترده,1
نسرین,1
منان,3
خضرا,4
پیرایهٔ,1
لاخورده,1
ادریسی,1
الوثقی,3
باطن,1
معمورهٔ,1
راکانی,1
غضبناک,1
شاهدکشمر,1
نمکدانش,1
ملوک,1
ملوث,1
ملوکم,1
رسدکه,1
مخیری,3
نشایدش,1
مطلا,1
ماکمتر,1
وسخنگوی,1
مفاجا,9
آذرگسسته,1
ارژنگ,1
سلیس,1
مسخرش,3
باکفی,1
نرا,2
شکور,2
ستمم,1
منبرا,1
مهرگسترا,1
مزورا,1
آری,2
شیوایی,1
آنسان,1
بیاو,1
چهارماهه,1
تاجیک,1
نطق,3
ثعبان,3
معلقه,1
بویا,2
صائبش,1
بلورکردی,1
کاذبی,4
وارگشته,1
مغزکه,1
معرکه,1
ملونا,1
بطی,4
ناشایسته,2
خرگهم,1
نیفتادی,4
مسح,2
ازمشکین,1
خادمکی,2
وکاغذی,1
هاطل,2
لاهی,2
محارب,2
مصاعد,1
مواکب,2
خلیلش,1
راکاوی,1
عجاب,2
زکم,1
مثابه,12
صار,2
جولاهکی,1
کهین,3
کامجوی,1
عَذب,1
معاند,5
متذکر,1
کاه,2
مرتعش,3
شبهه,1
راکینه,1
قاآنی,4
رقن,1
مشاعل,1
ذیحجه,1
ماریست,1
ذو,1
محتجب,2
